strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,552.524,580.7139999999999,1765,20180101,1330,563.8,20180101.0,1515.0,563.8,INTRA
strategy1,SELL,574.923,546.7405,-1774,20180102,1005,563.65,20180102.0,1515.0,559.2,INTRA
strategy1,SELL,568.854,540.969,-1793,20180103,1120,557.7,20180103.0,1350.0,563.6,Reversal to Long
strategy1,BUY,550.809,578.9114999999999,1774,20180103,1350,562.05,20180103.0,1515.0,559.95,INTRA
strategy1,SELL,572.067,544.0245,-1783,20180104,1055,560.85,20180104.0,1515.0,559.65,INTRA
strategy1,SELL,569.823,541.8905,-1790,20180105,1025,558.65,20180105.0,1505.0,562.0,Reversal to Long
strategy1,BUY,548.5060000000001,576.4910000000001,1779,20180105,1505,559.7,20180105.0,1515.0,562.75,INTRA
strategy1,SELL,574.77,546.595,-1774,20180108,1200,563.5,20180108.0,1515.0,565.55,INTRA
strategy1,BUY,557.571,586.0185,1752,20180109,1110,568.95,20180109.0,1515.0,563.95,INTRA
strategy1,SELL,573.036,544.9459999999999,-1779,20180110,1110,561.8,20180110.0,1515.0,563.15,INTRA
strategy1,SELL,568.7520000000001,540.8720000000001,-1793,20180111,1020,557.6,20180111.0,1515.0,558.8,INTRA
strategy1,SELL,570.231,542.2785,-1788,20180112,1005,559.05,20180112.0,1515.0,554.2,INTRA
strategy1,SELL,570.384,542.4240000000001,-1788,20180116,1025,559.2,20180116.0,1430.0,564.85,Reversal to Long
strategy1,BUY,550.662,578.757,1770,20180116,1430,561.9,20180116.0,1515.0,564.95,INTRA
strategy1,BUY,559.825,588.3875,1742,20180117,1030,571.25,20180117.0,1515.0,587.45,INTRA
strategy1,SELL,599.25,569.875,-1702,20180118,1130,587.5,20180118.0,1515.0,584.95,INTRA
strategy1,BUY,575.3580000000001,604.713,1696,20180119,1005,587.1,20180119.0,1425.0,582.15,Reversal to Short
strategy1,SELL,593.793,564.6854999999999,-1717,20180119,1425,582.15,20180119.0,1505.0,589.9,Reversal to Long
strategy1,BUY,573.8389999999999,603.1165,1695,20180119,1505,585.55,20180119.0,1515.0,591.55,INTRA
strategy1,SELL,594.864,565.7040000000001,-1714,20180122,1030,583.2,20180122.0,1300.0,597.5,Reversal to Long
strategy1,BUY,582.2180000000001,611.923,1673,20180122,1300,594.1,20180122.0,1400.0,611.923,LT
strategy1,BUY,597.1139999999999,627.579,1641,20180122,1405,609.3,20180122.0,1515.0,609.05,INTRA
strategy1,SELL,626.79,596.065,-1627,20180123,1005,614.5,20180123.0,1515.0,620.2,INTRA
strategy1,SELL,623.3729999999999,592.8154999999999,-1636,20180124,1420,611.15,20180124.0,1515.0,609.0,INTRA
strategy1,BUY,601.524,632.2139999999999,1624,20180125,1105,613.8,20180125.0,1515.0,616.35,INTRA
strategy1,SELL,626.484,595.774,-1628,20180129,1020,614.2,20180129.0,1515.0,605.1,INTRA
strategy1,SELL,608.685,578.8475,-1675,20180130,1005,596.75,20180130.0,1515.0,594.25,INTRA
strategy1,SELL,601.8,572.3,-1694,20180131,1040,590.0,20180131.0,1515.0,594.35,INTRA
strategy1,SELL,604.35,574.725,-1687,20180201,1010,592.5,20180201.0,1310.0,605.05,Reversal to Long
strategy1,BUY,582.953,612.6955,1652,20180201,1310,594.85,20180201.0,1510.0,588.0,Reversal to Short
strategy1,SELL,599.76,570.36,-1700,20180201,1510,588.0,20180201.0,1515.0,591.4,INTRA
strategy1,SELL,586.602,557.847,-1738,20180202,1030,575.1,20180202.0,1515.0,563.4,INTRA
strategy1,BUY,542.528,570.208,1792,20180205,1010,553.6,20180205.0,1515.0,567.65,INTRA
strategy1,SELL,549.525,522.5875,-1856,20180206,1010,538.75,20180206.0,1340.0,545.3,Reversal to Long
strategy1,BUY,531.65,558.775,1833,20180206,1340,542.5,20180206.0,1420.0,558.775,LT
strategy1,BUY,553.9939999999999,582.2589999999999,1740,20180206,1425,565.3,20180206.0,1515.0,562.8,INTRA
strategy1,SELL,576.657,548.3895,-1768,20180207,1135,565.35,20180207.0,1515.0,558.75,INTRA
strategy1,BUY,554.778,583.083,1760,20180208,1010,566.1,20180208.0,1515.0,568.1,INTRA
strategy1,SELL,563.856,536.216,-1808,20180209,1125,552.8,20180209.0,1515.0,559.6,INTRA
strategy1,BUY,554.8760000000001,583.186,1764,20180212,1105,566.2,20180212.0,1355.0,561.4,Reversal to Short
strategy1,SELL,572.6279999999999,544.558,-1781,20180212,1355,561.4,20180212.0,1515.0,564.05,INTRA
strategy1,SELL,561.765,534.2275,-1815,20180214,1135,550.75,20180214.0,1515.0,543.7,INTRA
strategy1,BUY,528.367,555.3245,1815,20180215,1005,539.15,20180215.0,1515.0,543.95,INTRA
strategy1,SELL,548.4540000000001,521.5690000000001,-1859,20180216,1025,537.7,20180216.0,1515.0,536.75,INTRA
strategy1,SELL,539.58,513.13,-1890,20180219,1345,529.0,20180219.0,1445.0,539.15,Reversal to Long
strategy1,BUY,524.5939999999999,551.3589999999999,1854,20180219,1445,535.3,20180219.0,1515.0,543.9,INTRA
strategy1,BUY,534.1,561.35,1827,20180220,1010,545.0,20180220.0,1115.0,540.0,Reversal to Short
strategy1,SELL,550.8,523.8,-1851,20180220,1115,540.0,20180220.0,1515.0,530.3,INTRA
strategy1,BUY,522.095,548.7325,1868,20180221,1505,532.75,20180221.0,1515.0,535.65,INTRA
strategy1,BUY,520.674,547.2389999999999,1880,20180223,1015,531.3,20180223.0,1515.0,537.0,INTRA
strategy1,BUY,531.895,559.0325,1838,20180226,1020,542.75,20180226.0,1515.0,554.0,INTRA
strategy1,SELL,556.5120000000001,529.232,-1832,20180227,1015,545.6,20180227.0,1515.0,537.1,INTRA
strategy1,BUY,522.242,548.887,1870,20180228,1130,532.9,20180228.0,1220.0,528.6,Reversal to Short
strategy1,SELL,539.172,512.7420000000001,-1891,20180228,1220,528.6,20180228.0,1515.0,529.35,INTRA
strategy1,BUY,523.5160000000001,550.226,1870,20180301,1205,534.2,20180301.0,1445.0,524.95,Reversal to Short
strategy1,SELL,535.4490000000001,509.20150000000007,-1904,20180301,1445,524.95,20180301.0,1515.0,527.0,INTRA
strategy1,SELL,535.653,509.39549999999997,-1904,20180305,1040,525.15,20180305.0,1515.0,524.45,INTRA
strategy1,SELL,537.183,510.85049999999995,-1898,20180306,1100,526.65,20180306.0,1515.0,518.25,INTRA
strategy1,SELL,519.792,494.312,-1962,20180307,1140,509.6,20180307.0,1515.0,512.3,INTRA
strategy1,SELL,522.24,496.64,-1953,20180308,1005,512.0,20180308.0,1435.0,522.25,Reversal to Long
strategy1,BUY,507.59100000000007,533.4885,1914,20180308,1435,517.95,20180308.0,1515.0,520.45,INTRA
strategy1,SELL,526.677,500.8595,-1936,20180309,1130,516.35,20180309.0,1515.0,503.9,INTRA
strategy1,BUY,501.17199999999997,526.742,1946,20180312,1445,511.4,20180312.0,1515.0,520.35,INTRA
strategy1,BUY,516.362,542.707,1890,20180313,1005,526.9,20180313.0,1515.0,531.3,INTRA
strategy1,SELL,534.327,508.1345,-1908,20180314,1035,523.85,20180314.0,1335.0,529.5,Reversal to Long
strategy1,BUY,516.7539999999999,543.1189999999999,1888,20180314,1335,527.3,20180314.0,1515.0,534.4,INTRA
strategy1,BUY,525.525,552.3375,1858,20180315,1005,536.25,20180315.0,1300.0,533.45,Reversal to Short
strategy1,SELL,544.119,517.4465,-1874,20180315,1300,533.45,20180315.0,1515.0,529.4,INTRA
strategy1,SELL,536.6220000000001,510.317,-1900,20180316,1140,526.1,20180316.0,1515.0,522.45,INTRA
strategy1,SELL,531.318,505.27299999999997,-1919,20180319,1135,520.9,20180319.0,1515.0,519.25,INTRA
strategy1,SELL,530.5020000000001,504.497,-1922,20180322,1155,520.1,20180322.0,1515.0,518.4,INTRA
strategy1,SELL,512.856,487.716,-1988,20180323,1005,502.8,20180323.0,1515.0,503.3,INTRA
strategy1,SELL,506.175,481.3625,-2015,20180326,1040,496.25,20180326.0,1500.0,504.85,Reversal to Long
strategy1,BUY,493.43,518.605,1980,20180326,1500,503.5,20180326.0,1515.0,508.25,INTRA
strategy1,SELL,519.69,494.215,-1962,20180327,1450,509.5,20180327.0,1515.0,511.9,INTRA
strategy1,SELL,505.206,480.44100000000003,-2018,20180402,1005,495.3,20180402.0,1515.0,499.75,INTRA
strategy1,SELL,507.909,483.0115,-2008,20180404,1150,497.95,20180404.0,1515.0,491.85,INTRA
strategy1,SELL,505.86899999999997,481.0715,-2016,20180405,1130,495.95,20180405.0,1455.0,500.8,Reversal to Long
strategy1,BUY,489.363,514.3305,1996,20180405,1455,499.35,20180405.0,1515.0,503.0,INTRA
strategy1,SELL,505.92,481.12,-2016,20180406,1005,496.0,20180406.0,1515.0,501.0,INTRA
strategy1,BUY,494.459,519.6865,1973,20180409,1055,504.55,20180409.0,1325.0,519.6865,LT
strategy1,BUY,508.277,534.2094999999999,1927,20180409,1330,518.65,20180409.0,1515.0,520.4,INTRA
strategy1,BUY,527.24,554.14,1848,20180410,1125,538.0,20180410.0,1515.0,546.6,INTRA
strategy1,BUY,528.6610000000001,555.6335,1837,20180412,1150,539.45,20180412.0,1515.0,548.35,INTRA
strategy1,SELL,558.756,531.366,-1825,20180413,1240,547.8,20180413.0,1515.0,542.65,INTRA
strategy1,SELL,545.241,518.5134999999999,-1870,20180416,1015,534.55,20180416.0,1500.0,541.7,Reversal to Long
strategy1,BUY,526.456,553.316,1846,20180416,1500,537.2,20180416.0,1515.0,543.25,INTRA
strategy1,SELL,546.312,519.532,-1867,20180417,1110,535.6,20180417.0,1515.0,531.8,INTRA
strategy1,SELL,539.274,512.839,-1891,20180418,1400,528.7,20180418.0,1515.0,518.1,INTRA
strategy1,SELL,519.435,493.9725,-1963,20180419,1005,509.25,20180419.0,1515.0,512.05,INTRA
strategy1,SELL,517.3439999999999,491.984,-1971,20180420,1005,507.2,20180420.0,1515.0,504.75,INTRA
strategy1,BUY,497.154,522.519,1965,20180423,1015,507.3,20180423.0,1515.0,507.0,INTRA
strategy1,SELL,515.6610000000001,490.3835,-1978,20180424,1115,505.55,20180424.0,1515.0,504.4,INTRA
strategy1,SELL,507.45,482.575,-2010,20180425,1015,497.5,20180425.0,1515.0,498.1,INTRA
strategy1,SELL,502.146,477.531,-2031,20180426,1015,492.3,20180426.0,1515.0,495.3,INTRA
strategy1,BUY,509.012,534.982,1908,20180427,1310,519.4,20180427.0,1405.0,534.982,LT
strategy1,BUY,525.28,552.08,1851,20180427,1410,536.0,20180427.0,1515.0,538.7,INTRA
strategy1,SELL,525.555,499.7925,-1940,20180430,1310,515.25,20180430.0,1515.0,516.6,INTRA
strategy1,BUY,510.58,536.63,1897,20180502,1240,521.0,20180502.0,1515.0,523.15,INTRA
strategy1,BUY,523.5160000000001,550.226,1859,20180503,1005,534.2,20180503.0,1515.0,533.4,INTRA
strategy1,SELL,536.418,510.123,-1901,20180504,1135,525.9,20180504.0,1515.0,520.05,INTRA
strategy1,BUY,517.44,543.84,1889,20180507,1010,528.0,20180507.0,1515.0,537.0,INTRA
strategy1,BUY,531.454,558.569,1832,20180509,1035,542.3,20180509.0,1515.0,549.15,INTRA
strategy1,SELL,557.991,530.6384999999999,-1827,20180510,1005,547.05,20180510.0,1515.0,546.95,INTRA
strategy1,BUY,540.96,568.56,1809,20180511,1515,552.0,20180511.0,1515.0,552.65,INTRA
strategy1,SELL,561.8670000000001,534.3245000000001,-1815,20180514,1105,550.85,20180514.0,1515.0,552.35,INTRA
strategy1,BUY,533.806,561.041,1831,20180516,1025,544.7,20180516.0,1515.0,550.9,INTRA
strategy1,SELL,557.43,530.105,-1829,20180517,1005,546.5,20180517.0,1515.0,540.25,INTRA
strategy1,SELL,542.4359999999999,515.846,-1880,20180518,1405,531.8,20180518.0,1515.0,533.2,INTRA
strategy1,SELL,537.03,510.705,-1899,20180521,1100,526.5,20180521.0,1515.0,527.2,INTRA
strategy1,BUY,521.458,548.063,1878,20180522,1025,532.1,20180522.0,1435.0,521.8,Reversal to Short
strategy1,SELL,532.236,506.14599999999996,-1916,20180522,1435,521.8,20180522.0,1515.0,524.0,INTRA
strategy1,SELL,530.655,504.6425,-1922,20180523,1405,520.25,20180523.0,1515.0,520.25,INTRA
strategy1,BUY,512.148,538.278,1902,20180524,1005,522.6,20180524.0,1515.0,535.65,INTRA
strategy1,SELL,544.476,517.786,-1873,20180525,1240,533.8,20180525.0,1515.0,538.05,INTRA
strategy1,SELL,543.966,517.3009999999999,-1875,20180531,1015,533.3,20180531.0,1505.0,546.0,Reversal to Long
strategy1,BUY,528.9060000000001,555.8910000000001,1831,20180531,1505,539.7,20180531.0,1515.0,544.0,INTRA
strategy1,SELL,547.9440000000001,521.0840000000001,-1861,20180604,1025,537.2,20180604.0,1515.0,537.7,INTRA
strategy1,SELL,540.702,514.197,-1886,20180605,1325,530.1,20180605.0,1515.0,531.7,INTRA
strategy1,SELL,538.254,511.869,-1895,20180606,1435,527.7,20180606.0,1515.0,530.9,INTRA
strategy1,BUY,530.9639999999999,558.054,1841,20180607,1005,541.8,20180607.0,1515.0,542.3,INTRA
strategy1,BUY,528.073,555.0155,1846,20180608,1020,538.85,20180608.0,1515.0,537.1,INTRA
strategy1,BUY,527.534,554.449,1846,20180611,1510,538.3,20180611.0,1515.0,540.75,INTRA
strategy1,SELL,547.587,520.7445,-1862,20180612,1300,536.85,20180612.0,1515.0,536.9,INTRA
strategy1,BUY,538.02,565.47,1816,20180613,1045,549.0,20180613.0,1515.0,540.6,INTRA
strategy1,SELL,543.15,516.525,-1877,20180614,1010,532.5,20180614.0,1515.0,531.45,INTRA
strategy1,SELL,537.693,511.33549999999997,-1896,20180615,1140,527.15,20180615.0,1515.0,529.75,INTRA
strategy1,SELL,533.6640000000001,507.504,-1911,20180618,1255,523.2,20180618.0,1515.0,522.35,INTRA
strategy1,SELL,528.2579999999999,502.363,-1930,20180619,1235,517.9,20180619.0,1515.0,516.7,INTRA
strategy1,SELL,529.4309999999999,503.47849999999994,-1926,20180621,1005,519.05,20180621.0,1515.0,513.65,INTRA
strategy1,BUY,505.68,531.48,1931,20180622,1215,516.0,20180622.0,1515.0,526.65,INTRA
strategy1,SELL,529.125,503.1875,-1927,20180625,1010,518.75,20180625.0,1515.0,514.95,INTRA
strategy1,SELL,523.005,497.3675,-1950,20180626,1020,512.75,20180626.0,1515.0,514.25,INTRA
strategy1,SELL,515.5079999999999,490.238,-1978,20180627,1425,505.4,20180627.0,1515.0,507.3,INTRA
strategy1,BUY,495.92900000000003,521.2315,1968,20180629,1245,506.05,20180629.0,1515.0,511.5,INTRA
strategy1,BUY,499.11400000000003,524.5790000000001,1953,20180702,1340,509.3,20180702.0,1515.0,513.05,INTRA
strategy1,SELL,521.985,496.3975,-1954,20180703,1450,511.75,20180703.0,1515.0,512.6,INTRA
strategy1,SELL,519.639,494.1665,-1962,20180704,1005,509.45,20180704.0,1230.0,514.15,Reversal to Long
strategy1,BUY,501.564,527.154,1944,20180704,1230,511.8,20180704.0,1515.0,515.1,INTRA
strategy1,SELL,522.852,497.22200000000004,-1950,20180705,1005,512.6,20180705.0,1515.0,510.5,INTRA
strategy1,BUY,504.8960000000001,530.6560000000001,1937,20180706,1035,515.2,20180706.0,1515.0,514.4,INTRA
strategy1,BUY,515.872,542.192,1893,20180709,1210,526.4,20180709.0,1515.0,526.0,INTRA
strategy1,BUY,517.7339999999999,544.149,1879,20180710,1010,528.3,20180710.0,1515.0,533.5,INTRA
strategy1,BUY,526.8969999999999,553.7795,1853,20180711,1010,537.65,20180711.0,1515.0,536.95,INTRA
strategy1,SELL,541.5690000000001,515.0215000000001,-1883,20180713,1005,530.95,20180713.0,1515.0,523.55,INTRA
strategy1,BUY,514.304,540.544,1901,20180716,1255,524.8,20180716.0,1515.0,523.9,INTRA
strategy1,BUY,515.284,541.574,1900,20180717,1105,525.8,20180717.0,1515.0,537.2,INTRA
strategy1,SELL,543.66,517.01,-1876,20180718,1110,533.0,20180718.0,1515.0,525.7,INTRA
strategy1,BUY,515.97,542.295,1891,20180719,1020,526.5,20180719.0,1515.0,527.0,INTRA
strategy1,BUY,523.1239999999999,549.814,1871,20180720,1135,533.8,20180720.0,1515.0,534.45,INTRA
strategy1,SELL,542.793,516.1854999999999,-1879,20180723,1015,532.15,20180723.0,1420.0,542.4,Reversal to Long
strategy1,BUY,529.102,556.097,1843,20180723,1420,539.9,20180723.0,1515.0,540.6,INTRA
strategy1,BUY,531.209,558.3114999999999,1837,20180724,1125,542.05,20180724.0,1515.0,546.05,INTRA
strategy1,SELL,552.483,525.4005,-1846,20180725,1035,541.65,20180725.0,1515.0,532.5,INTRA
strategy1,BUY,523.663,550.3805,1866,20180726,1240,534.35,20180726.0,1515.0,542.0,INTRA
strategy1,BUY,531.993,559.1355,1830,20180727,1010,542.85,20180727.0,1515.0,553.5,INTRA
strategy1,BUY,547.82,575.77,1782,20180730,1010,559.0,20180730.0,1515.0,570.0,INTRA
strategy1,SELL,574.107,545.9645,-1776,20180731,1025,562.85,20180731.0,1515.0,550.75,INTRA
strategy1,SELL,552.84,525.74,-1845,20180801,1105,542.0,20180801.0,1515.0,543.6,INTRA
strategy1,BUY,533.953,561.1955,1828,20180802,1355,544.85,20180802.0,1515.0,546.95,INTRA
strategy1,BUY,543.949,571.7014999999999,1798,20180803,1035,555.05,20180803.0,1440.0,571.7014999999999,LT
strategy1,BUY,563.255,591.9925,1739,20180803,1445,574.75,20180803.0,1515.0,574.5,INTRA
strategy1,BUY,570.262,599.357,1708,20180806,1040,581.9,20180806.0,1305.0,599.357,LT
strategy1,BUY,587.314,617.279,1665,20180806,1310,599.3,20180806.0,1515.0,596.75,INTRA
strategy1,SELL,601.494,572.009,-1695,20180807,1115,589.7,20180807.0,1515.0,593.6,INTRA
strategy1,BUY,583.59,613.365,1673,20180808,1515,595.5,20180808.0,1515.0,597.65,INTRA
strategy1,BUY,596.967,627.4245,1628,20180809,1130,609.15,20180809.0,1515.0,622.2,INTRA
strategy1,BUY,605.15,636.025,1605,20180810,1410,617.5,20180810.0,1500.0,614.6,Reversal to Short
strategy1,SELL,626.892,596.162,-1627,20180810,1500,614.6,20180810.0,1515.0,616.55,INTRA
strategy1,SELL,616.641,586.4135,-1654,20180813,1450,604.55,20180813.0,1515.0,604.4,INTRA
strategy1,BUY,605.444,636.334,1616,20180814,1005,617.8,20180814.0,1515.0,618.6,INTRA
strategy1,SELL,634.491,603.3884999999999,-1607,20180817,1010,622.05,20180817.0,1515.0,627.6,INTRA
strategy1,SELL,637.5,606.25,-1600,20180820,1015,625.0,20180820.0,1515.0,624.25,INTRA
strategy1,SELL,630.411,599.5084999999999,-1617,20180821,1210,618.05,20180821.0,1455.0,631.8,Reversal to Long
strategy1,BUY,612.745,644.0075,1582,20180821,1455,625.25,20180821.0,1515.0,636.7,INTRA
strategy1,SELL,645.15,613.525,-1581,20180823,1115,632.5,20180823.0,1515.0,631.1,INTRA
strategy1,SELL,647.853,616.0955,-1574,20180824,1140,635.15,20180824.0,1515.0,640.2,INTRA
strategy1,BUY,636.069,668.5215,1537,20180827,1500,649.05,20180827.0,1515.0,650.5,INTRA
strategy1,SELL,656.0129999999999,623.8555,-1554,20180828,1135,643.15,20180828.0,1450.0,653.0,Reversal to Long
strategy1,BUY,636.02,668.47,1531,20180828,1450,649.0,20180828.0,1515.0,659.75,INTRA
strategy1,SELL,656.0640000000001,623.904,-1554,20180903,1030,643.2,20180903.0,1515.0,630.7,INTRA
strategy1,BUY,618.429,649.9815,1577,20180904,1150,631.05,20180904.0,1515.0,642.45,INTRA
strategy1,BUY,625.387,657.2945,1554,20180905,1045,638.15,20180905.0,1355.0,635.05,Reversal to Short
strategy1,SELL,647.751,615.9984999999999,-1574,20180905,1355,635.05,20180905.0,1515.0,637.35,INTRA
strategy1,SELL,643.8240000000001,612.264,-1584,20180906,1010,631.2,20180906.0,1455.0,640.6,Reversal to Long
strategy1,BUY,622.3,654.05,1561,20180906,1455,635.0,20180906.0,1515.0,635.85,INTRA
strategy1,BUY,625.485,657.3975,1560,20180907,1045,638.25,20180907.0,1515.0,644.95,INTRA
strategy1,SELL,659.685,627.3475,-1546,20180910,1220,646.75,20180910.0,1515.0,652.05,INTRA
strategy1,SELL,661.725,629.2875,-1541,20180911,1425,648.75,20180911.0,1515.0,648.8,INTRA
strategy1,SELL,644.6909999999999,613.0885,-1582,20180912,1005,632.05,20180912.0,1515.0,634.7,INTRA
strategy1,SELL,646.935,615.2225,-1576,20180914,1025,634.25,20180914.0,1515.0,636.1,INTRA
strategy1,SELL,633.675,602.6125,-1609,20180918,1025,621.25,20180918.0,1515.0,607.2,INTRA
strategy1,BUY,606.914,637.8789999999999,1612,20180919,1010,619.3,20180919.0,1225.0,607.0,Reversal to Short
strategy1,SELL,619.14,588.79,-1647,20180919,1225,607.0,20180919.0,1515.0,608.6,INTRA
strategy1,BUY,617.498,649.003,1582,20180921,1100,630.1,20180921.0,1300.0,614.55,Reversal to Short
strategy1,SELL,626.841,596.1134999999999,-1627,20180921,1300,614.55,20180921.0,1305.0,596.1134999999999,ST
strategy1,SELL,614.805,584.6675,-1659,20180921,1310,602.75,20180921.0,1320.0,614.805,SSL
strategy1,SELL,628.779,597.9565,-1622,20180921,1325,616.45,20180921.0,1515.0,599.3,INTRA
strategy1,BUY,586.187,616.0944999999999,1662,20180924,1025,598.15,20180924.0,1515.0,597.15,INTRA
strategy1,BUY,591.9689999999999,622.1714999999999,1641,20180925,1020,604.05,20180925.0,1515.0,614.8,INTRA
strategy1,SELL,628.881,598.0535,-1621,20180926,1135,616.55,20180926.0,1515.0,618.05,INTRA
strategy1,SELL,623.067,592.5245,-1637,20180927,1005,610.85,20180927.0,1515.0,599.75,INTRA
strategy1,BUY,594.37,624.695,1640,20180928,1150,606.5,20180928.0,1515.0,614.25,INTRA
strategy1,SELL,602.208,572.688,-1693,20181001,1035,590.4,20181001.0,1515.0,593.0,INTRA
strategy1,SELL,594.609,565.4615,-1715,20181003,1135,582.95,20181003.0,1515.0,571.35,INTRA
strategy1,BUY,564.137,592.9195,1723,20181004,1005,575.65,20181004.0,1515.0,587.0,INTRA
strategy1,SELL,591.396,562.406,-1724,20181005,1010,579.8,20181005.0,1515.0,568.1,INTRA
strategy1,SELL,574.668,546.4979999999999,-1774,20181008,1105,563.4,20181008.0,1515.0,557.3,INTRA
strategy1,SELL,569.16,541.26,-1792,20181009,1005,558.0,20181009.0,1515.0,551.45,INTRA
strategy1,BUY,553.7,581.95,1764,20181010,1020,565.0,20181010.0,1330.0,581.95,LT
strategy1,BUY,570.801,599.9235000000001,1711,20181010,1335,582.45,20181010.0,1515.0,590.05,INTRA
strategy1,BUY,557.0319999999999,585.452,1749,20181011,1005,568.4,20181011.0,1515.0,579.6,INTRA
strategy1,SELL,600.0659999999999,570.651,-1699,20181012,1120,588.3,20181012.0,1515.0,583.5,INTRA
strategy1,SELL,583.797,555.1795000000001,-1747,20181015,1040,572.35,20181015.0,1515.0,576.5,INTRA
strategy1,BUY,573.3,602.55,1704,20181016,1030,585.0,20181016.0,1515.0,589.55,INTRA
strategy1,SELL,599.5559999999999,570.1659999999999,-1701,20181017,1005,587.8,20181017.0,1310.0,570.1659999999999,ST
strategy1,SELL,581.1959999999999,552.7059999999999,-1755,20181017,1315,569.8,20181017.0,1515.0,574.85,INTRA
strategy1,SELL,568.4459999999999,540.5809999999999,-1794,20181019,1310,557.3,20181019.0,1515.0,562.45,INTRA
strategy1,BUY,555.023,583.3405,1758,20181022,1025,566.35,20181022.0,1515.0,562.0,INTRA
strategy1,BUY,555.856,584.216,1756,20181023,1015,567.2,20181023.0,1350.0,555.8,Reversal to Short
strategy1,SELL,566.9159999999999,539.126,-1799,20181023,1350,555.8,20181023.0,1515.0,562.2,INTRA
strategy1,SELL,576.759,548.4865000000001,-1768,20181024,1140,565.45,20181024.0,1515.0,564.2,INTRA
strategy1,SELL,568.7009999999999,540.8235,-1793,20181025,1045,557.55,20181025.0,1515.0,560.25,INTRA
strategy1,SELL,566.5590000000001,538.7865,-1800,20181026,1005,555.45,20181026.0,1515.0,538.7865,ST
strategy1,BUY,552.426,580.6110000000001,1763,20181029,1005,563.7,20181029.0,1515.0,568.2,INTRA
strategy1,BUY,557.7180000000001,586.173,1752,20181030,1055,569.1,20181030.0,1410.0,561.3,Reversal to Short
strategy1,SELL,572.526,544.461,-1781,20181030,1410,561.3,20181030.0,1515.0,563.3,INTRA
strategy1,BUY,554.288,582.568,1757,20181031,1110,565.6,20181031.0,1510.0,582.568,LT
strategy1,BUY,570.311,599.4085,1711,20181031,1515,581.95,20181031.0,1515.0,584.35,INTRA
strategy1,BUY,579.18,608.73,1687,20181101,1135,591.0,20181101.0,1515.0,601.35,INTRA
strategy1,BUY,601.818,632.523,1625,20181102,1225,614.1,20181102.0,1515.0,610.4,INTRA
strategy1,BUY,617.547,649.0545,1580,20181105,1045,630.15,20181105.0,1515.0,624.5,INTRA
strategy1,SELL,635.6129999999999,604.4555,-1604,20181106,1015,623.15,20181106.0,1140.0,604.4555,ST
strategy1,SELL,616.029,585.8315,-1655,20181106,1145,603.95,20181106.0,1515.0,607.95,INTRA
strategy1,BUY,601.72,632.42,1618,20181109,1005,614.0,20181109.0,1515.0,613.35,INTRA
strategy1,SELL,622.251,591.7484999999999,-1639,20181112,1210,610.05,20181112.0,1515.0,605.75,INTRA
strategy1,BUY,598.143,628.6605000000001,1631,20181113,1005,610.35,20181113.0,1515.0,619.25,INTRA
strategy1,SELL,623.781,593.2035,-1635,20181114,1015,611.55,20181114.0,1515.0,613.75,INTRA
strategy1,BUY,607.649,638.6514999999999,1607,20181115,1020,620.05,20181115.0,1515.0,626.8,INTRA
strategy1,SELL,636.48,605.28,-1602,20181116,1020,624.0,20181116.0,1515.0,620.5,INTRA
strategy1,BUY,602.7,633.45,1621,20181121,1055,615.0,20181121.0,1515.0,626.95,INTRA
strategy1,SELL,632.1959999999999,601.2059999999999,-1613,20181122,1320,619.8,20181122.0,1515.0,613.5,INTRA
strategy1,SELL,631.9920000000001,601.0120000000001,-1613,20181126,1030,619.6,20181126.0,1510.0,630.35,Reversal to Long
strategy1,BUY,614.46,645.81,1586,20181126,1510,627.0,20181126.0,1515.0,634.5,INTRA
strategy1,SELL,638.163,606.8805,-1598,20181127,1200,625.65,20181127.0,1515.0,624.65,INTRA
strategy1,BUY,615.44,646.84,1586,20181128,1125,628.0,20181128.0,1515.0,628.6,INTRA
strategy1,SELL,641.07,609.645,-1591,20181129,1135,628.5,20181129.0,1515.0,631.15,INTRA
strategy1,SELL,643.0590000000001,611.5365,-1586,20181130,1020,630.45,20181130.0,1515.0,624.55,INTRA
strategy1,SELL,637.4490000000001,606.2015,-1600,20181203,1140,624.95,20181203.0,1515.0,624.75,INTRA
strategy1,SELL,634.185,603.0975,-1608,20181204,1030,621.75,20181204.0,1515.0,623.1,INTRA
strategy1,BUY,608.972,640.042,1604,20181205,1035,621.4,20181205.0,1455.0,616.55,Reversal to Short
strategy1,SELL,628.881,598.0535,-1621,20181205,1455,616.55,20181205.0,1515.0,614.35,INTRA
strategy1,SELL,619.854,589.469,-1645,20181206,1005,607.7,20181206.0,1515.0,599.95,INTRA
strategy1,BUY,590.6460000000001,620.7810000000001,1655,20181207,1055,602.7,20181207.0,1515.0,604.1,INTRA
strategy1,SELL,604.197,574.5795,-1688,20181210,1005,592.35,20181210.0,1515.0,589.8,INTRA
strategy1,BUY,575.26,604.61,1695,20181211,1105,587.0,20181211.0,1200.0,604.61,LT
strategy1,BUY,592.018,622.2230000000001,1654,20181211,1205,604.1,20181211.0,1515.0,604.25,INTRA
