strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,SELL,1762.407,1676.0145,-578,20180102,1005,1727.85,20180102.0,1515.0,1744.6,INTRA
strategy1,BUY,1716.96,1804.56,569,20180103,1010,1752.0,20180103.0,1515.0,1776.3,INTRA
strategy1,BUY,1746.556,1835.666,559,20180104,1340,1782.2,20180104.0,1515.0,1801.15,INTRA
strategy1,SELL,1843.14,1752.79,-553,20180105,1210,1807.0,20180105.0,1515.0,1809.55,INTRA
strategy1,BUY,1776.25,1866.875,549,20180108,1030,1812.5,20180108.0,1515.0,1826.3,INTRA
strategy1,SELL,1838.499,1748.3765,-554,20180109,1210,1802.45,20180109.0,1300.0,1826.0,Reversal to Long
strategy1,BUY,1771.4479999999999,1861.828,547,20180109,1300,1807.6,20180109.0,1515.0,1812.8,INTRA
strategy1,SELL,1841.9669999999999,1751.6744999999999,-553,20180110,1015,1805.85,20180110.0,1450.0,1818.0,Reversal to Long
strategy1,BUY,1778.259,1868.9865,550,20180110,1450,1814.55,20180110.0,1515.0,1814.0,INTRA
strategy1,SELL,1845.5369999999998,1755.0694999999998,-552,20180111,1350,1809.35,20180111.0,1515.0,1803.25,INTRA
strategy1,SELL,1838.1419999999998,1748.0369999999998,-554,20180112,1010,1802.1,20180112.0,1515.0,1805.05,INTRA
strategy1,BUY,1773.653,1864.1454999999999,548,20180115,1255,1809.85,20180115.0,1515.0,1828.95,INTRA
strategy1,SELL,1873.8419999999999,1781.9869999999999,-544,20180118,1355,1837.1,20180118.0,1515.0,1840.95,INTRA
strategy1,SELL,1850.637,1759.9195,-551,20180119,1245,1814.35,20180119.0,1515.0,1832.0,INTRA
strategy1,BUY,1785.805,1876.9175,548,20180122,1235,1822.25,20180122.0,1515.0,1826.0,INTRA
strategy1,SELL,1833.96,1744.06,-556,20180123,1315,1798.0,20180123.0,1515.0,1791.7,INTRA
strategy1,SELL,1807.8990000000001,1719.2765,-564,20180124,1005,1772.45,20180124.0,1515.0,1737.5,INTRA
strategy1,SELL,1766.844,1680.2340000000002,-577,20180125,1235,1732.2,20180125.0,1515.0,1725.8,INTRA
strategy1,SELL,1768.68,1681.98,-576,20180129,1105,1734.0,20180129.0,1220.0,1749.55,Reversal to Long
strategy1,BUY,1705.004,1791.994,571,20180129,1220,1739.8,20180129.0,1515.0,1738.0,INTRA
strategy1,SELL,1753.074,1667.1390000000001,-581,20180131,1005,1718.7,20180131.0,1515.0,1716.45,INTRA
strategy1,BUY,1688.246,1774.381,579,20180201,1115,1722.7,20180201.0,1220.0,1711.0,Reversal to Short
strategy1,SELL,1745.22,1659.67,-584,20180201,1220,1711.0,20180201.0,1340.0,1735.75,Reversal to Long
strategy1,BUY,1689.422,1775.6170000000002,576,20180201,1340,1723.9,20180201.0,1515.0,1738.75,INTRA
strategy1,SELL,1729.155,1644.3925,-589,20180202,1015,1695.25,20180202.0,1515.0,1679.2,INTRA
strategy1,SELL,1649.034,1568.199,-618,20180205,1145,1616.7,20180205.0,1515.0,1643.6,INTRA
strategy1,SELL,1601.604,1523.094,-636,20180206,1015,1570.2,20180206.0,1250.0,1601.604,SSL
strategy1,BUY,1567.755,1647.7425,623,20180206,1255,1599.75,20180206.0,1515.0,1616.35,INTRA
strategy1,SELL,1660.458,1579.063,-614,20180207,1015,1627.9,20180207.0,1515.0,1591.25,INTRA
strategy1,BUY,1568.98,1649.03,622,20180208,1300,1601.0,20180208.0,1440.0,1649.03,LT
strategy1,BUY,1618.274,1700.839,604,20180208,1445,1651.3,20180208.0,1515.0,1686.45,INTRA
strategy1,SELL,1696.107,1612.9644999999998,-601,20180212,1230,1662.85,20180212.0,1515.0,1653.45,INTRA
strategy1,SELL,1670.709,1588.8115,-610,20180214,1110,1637.95,20180214.0,1515.0,1631.75,INTRA
strategy1,BUY,1602.4470000000001,1684.2045,606,20180215,1030,1635.15,20180215.0,1440.0,1620.1,Reversal to Short
strategy1,SELL,1652.502,1571.4969999999998,-617,20180215,1440,1620.1,20180215.0,1515.0,1623.55,INTRA
strategy1,BUY,1615.04,1697.44,606,20180216,1025,1648.0,20180216.0,1515.0,1648.8,INTRA
strategy1,SELL,1672.29,1590.315,-609,20180219,1005,1639.5,20180219.0,1515.0,1635.8,INTRA
strategy1,SELL,1659.54,1578.19,-614,20180220,1045,1627.0,20180220.0,1515.0,1637.45,INTRA
strategy1,SELL,1678.7669999999998,1596.4744999999998,-607,20180221,1445,1645.85,20180221.0,1515.0,1646.9,INTRA
strategy1,SELL,1650.411,1569.5085,-618,20180222,1450,1618.05,20180222.0,1515.0,1631.25,INTRA
strategy1,BUY,1610.2379999999998,1692.393,607,20180223,1015,1643.1,20180223.0,1515.0,1650.1,INTRA
strategy1,SELL,1656.735,1575.5225,-615,20180227,1005,1624.25,20180227.0,1515.0,1632.45,INTRA
strategy1,SELL,1641.0269999999998,1560.5845,-621,20180305,1035,1608.85,20180305.0,1515.0,1608.5,INTRA
strategy1,SELL,1634.499,1554.3765,-624,20180306,1005,1602.45,20180306.0,1515.0,1593.3,INTRA
strategy1,SELL,1608.183,1529.3505,-634,20180307,1405,1576.65,20180307.0,1515.0,1576.95,INTRA
strategy1,SELL,1591.2,1513.2,-641,20180308,1005,1560.0,20180308.0,1515.0,1544.45,INTRA
strategy1,SELL,1564.1190000000001,1487.4465,-652,20180309,1115,1533.45,20180309.0,1515.0,1533.15,INTRA
strategy1,SELL,1557.2340000000002,1480.8990000000001,-655,20180312,1020,1526.7,20180312.0,1425.0,1540.55,Reversal to Long
strategy1,BUY,1498.126,1574.5610000000001,649,20180312,1425,1528.7,20180312.0,1515.0,1560.25,INTRA
strategy1,BUY,1540.756,1619.366,634,20180313,1010,1572.2,20180313.0,1515.0,1575.0,INTRA
strategy1,BUY,1561.1889999999999,1640.8415,626,20180314,1010,1593.05,20180314.0,1515.0,1608.65,INTRA
strategy1,SELL,1630.98,1551.03,-625,20180315,1045,1599.0,20180315.0,1515.0,1600.7,INTRA
strategy1,SELL,1628.94,1549.09,-626,20180316,1035,1597.0,20180316.0,1515.0,1564.0,INTRA
strategy1,SELL,1584.927,1507.2345,-643,20180319,1005,1553.85,20180319.0,1515.0,1560.9,INTRA
strategy1,SELL,1579.47,1502.045,-645,20180320,1105,1548.5,20180320.0,1515.0,1555.6,INTRA
strategy1,BUY,1536.7379999999998,1615.1429999999998,635,20180321,1115,1568.1,20180321.0,1350.0,1554.0,Reversal to Short
strategy1,SELL,1585.08,1507.38,-643,20180321,1350,1554.0,20180321.0,1515.0,1556.0,INTRA
strategy1,SELL,1583.04,1505.44,-644,20180322,1005,1552.0,20180322.0,1515.0,1542.0,INTRA
strategy1,BUY,1504.4470000000001,1581.2045,649,20180323,1050,1535.15,20180323.0,1515.0,1530.05,INTRA
strategy1,SELL,1562.028,1485.458,-652,20180327,1005,1531.4,20180327.0,1515.0,1523.55,INTRA
strategy1,SELL,1536.12,1460.82,-664,20180328,1505,1506.0,20180328.0,1515.0,1508.1,INTRA
strategy1,BUY,1498.959,1575.4365,651,20180402,1505,1529.55,20180402.0,1515.0,1540.25,INTRA
strategy1,BUY,1519.98,1597.53,643,20180403,1505,1551.0,20180403.0,1515.0,1554.9,INTRA
strategy1,SELL,1583.6519999999998,1506.022,-644,20180404,1305,1552.6,20180404.0,1515.0,1531.3,INTRA
strategy1,SELL,1571.5140000000001,1494.479,-649,20180405,1140,1540.7,20180405.0,1240.0,1553.55,Reversal to Long
strategy1,BUY,1520.274,1597.839,643,20180405,1240,1551.3,20180405.0,1515.0,1551.5,INTRA
strategy1,SELL,1574.982,1497.7769999999998,-647,20180406,1110,1544.1,20180406.0,1500.0,1559.9,Reversal to Long
strategy1,BUY,1524.684,1602.474,641,20180406,1500,1555.8,20180406.0,1515.0,1554.75,INTRA
strategy1,SELL,1577.685,1500.3475,-646,20180409,1010,1546.75,20180409.0,1515.0,1542.45,INTRA
strategy1,SELL,1566.771,1489.9685,-651,20180410,1355,1536.05,20180410.0,1515.0,1540.0,INTRA
strategy1,BUY,1501.85,1578.475,651,20180411,1115,1532.5,20180411.0,1515.0,1534.1,INTRA
strategy1,SELL,1552.3380000000002,1476.2430000000002,-657,20180412,1425,1521.9,20180412.0,1515.0,1525.65,INTRA
strategy1,BUY,1502.095,1578.7325,651,20180413,1145,1532.75,20180413.0,1515.0,1538.0,INTRA
strategy1,BUY,1517.579,1595.0065,644,20180416,1045,1548.55,20180416.0,1515.0,1574.1,INTRA
strategy1,SELL,1610.886,1531.921,-633,20180417,1120,1579.3,20180417.0,1515.0,1588.25,INTRA
strategy1,SELL,1622.718,1543.173,-628,20180418,1010,1590.9,20180418.0,1515.0,1575.0,INTRA
strategy1,SELL,1622.565,1543.0275,-628,20180419,1005,1590.75,20180419.0,1515.0,1575.4,INTRA
strategy1,BUY,1546.391,1625.2885,631,20180420,1040,1577.95,20180420.0,1515.0,1564.0,INTRA
strategy1,BUY,1538.6,1617.1,633,20180423,1315,1570.0,20180423.0,1515.0,1565.05,INTRA
strategy1,SELL,1596.555,1518.2925,-638,20180424,1115,1565.25,20180424.0,1515.0,1563.1,INTRA
strategy1,BUY,1530.9560000000001,1609.066,638,20180425,1125,1562.2,20180425.0,1440.0,1549.85,Reversal to Short
strategy1,SELL,1580.847,1503.3545,-645,20180425,1440,1549.85,20180425.0,1510.0,1566.2,Reversal to Long
strategy1,BUY,1533.014,1611.229,638,20180425,1510,1564.3,20180425.0,1515.0,1565.65,INTRA
strategy1,SELL,1589.211,1511.3084999999999,-641,20180426,1005,1558.05,20180426.0,1515.0,1550.0,INTRA
strategy1,SELL,1581.9180000000001,1504.373,-644,20180427,1015,1550.9,20180427.0,1245.0,1561.3,Reversal to Long
strategy1,BUY,1527.722,1605.6670000000001,640,20180427,1245,1558.9,20180427.0,1455.0,1549.0,Reversal to Short
strategy1,SELL,1579.98,1502.53,-645,20180427,1455,1549.0,20180427.0,1515.0,1562.4,Reversal to Long
strategy1,BUY,1525.86,1603.71,640,20180427,1515,1557.0,20180427.0,1515.0,1562.4,INTRA
strategy1,BUY,1559.082,1638.6270000000002,627,20180430,1135,1590.9,20180430.0,1515.0,1585.25,INTRA
strategy1,SELL,1611.498,1532.5030000000002,-632,20180502,1015,1579.9,20180502.0,1515.0,1558.45,INTRA
strategy1,BUY,1527.771,1605.7185,639,20180503,1005,1558.95,20180503.0,1110.0,1544.95,Reversal to Short
strategy1,SELL,1575.8490000000002,1498.6015,-647,20180503,1110,1544.95,20180503.0,1515.0,1538.4,INTRA
strategy1,BUY,1507.5829999999999,1584.5004999999999,647,20180504,1220,1538.35,20180504.0,1455.0,1530.7,Reversal to Short
strategy1,SELL,1561.314,1484.779,-653,20180504,1455,1530.7,20180504.0,1515.0,1528.0,INTRA
strategy1,BUY,1498.959,1575.4365,652,20180507,1010,1529.55,20180507.0,1405.0,1518.95,Reversal to Short
strategy1,SELL,1549.329,1473.3815,-658,20180507,1405,1518.95,20180507.0,1515.0,1523.35,INTRA
strategy1,SELL,1547.595,1471.7325,-659,20180508,1310,1517.25,20180508.0,1515.0,1516.8,INTRA
strategy1,SELL,1549.278,1473.333,-658,20180509,1010,1518.9,20180509.0,1515.0,1510.05,INTRA
strategy1,SELL,1533.366,1458.201,-665,20180510,1005,1503.3,20180510.0,1515.0,1493.5,INTRA
strategy1,SELL,1514.5469999999998,1440.3045,-673,20180511,1230,1484.85,20180511.0,1515.0,1469.55,INTRA
strategy1,SELL,1489.455,1416.4425,-684,20180514,1020,1460.25,20180514.0,1515.0,1449.25,INTRA
strategy1,SELL,1441.413,1370.7555,-707,20180515,1345,1413.15,20180515.0,1515.0,1411.6,INTRA
strategy1,BUY,1387.729,1458.5315,703,20180516,1100,1416.05,20180516.0,1515.0,1411.75,INTRA
strategy1,BUY,1376.606,1446.8410000000001,710,20180517,1100,1404.7,20180517.0,1515.0,1400.0,INTRA
strategy1,SELL,1412.343,1343.1105,-722,20180518,1030,1384.65,20180518.0,1515.0,1376.4,INTRA
strategy1,SELL,1375.98,1308.53,-741,20180521,1035,1349.0,20180521.0,1515.0,1340.5,INTRA
strategy1,SELL,1353.846,1287.481,-753,20180522,1055,1327.3,20180522.0,1515.0,1328.15,INTRA
strategy1,SELL,1340.025,1274.3375,-761,20180523,1020,1313.75,20180523.0,1515.0,1313.0,INTRA
strategy1,SELL,1319.37,1254.695,-773,20180524,1005,1293.5,20180524.0,1320.0,1320.45,Reversal to Long
strategy1,BUY,1290.66,1356.51,757,20180524,1320,1317.0,20180524.0,1515.0,1330.65,INTRA
strategy1,SELL,1339.1580000000001,1273.5130000000001,-761,20180525,1105,1312.9,20180525.0,1515.0,1320.95,INTRA
strategy1,BUY,1302.42,1368.87,750,20180528,1155,1329.0,20180528.0,1515.0,1319.0,INTRA
strategy1,SELL,1340.178,1274.4830000000002,-761,20180529,1005,1313.9,20180529.0,1515.0,1310.05,INTRA
strategy1,BUY,1284.339,1349.8664999999999,762,20180530,1025,1310.55,20180530.0,1515.0,1310.0,INTRA
strategy1,BUY,1290.2679999999998,1356.098,756,20180531,1020,1316.6,20180531.0,1500.0,1356.098,LT
strategy1,BUY,1324.029,1391.5815,740,20180531,1505,1351.05,20180531.0,1515.0,1351.75,INTRA
strategy1,SELL,1377.714,1310.179,-740,20180601,1120,1350.7,20180601.0,1515.0,1328.15,INTRA
strategy1,SELL,1345.278,1279.333,-758,20180604,1040,1318.9,20180604.0,1515.0,1307.75,INTRA
strategy1,SELL,1305.396,1241.406,-781,20180605,1015,1279.8,20180605.0,1515.0,1285.0,INTRA
strategy1,BUY,1261.358,1325.713,772,20180606,1005,1287.1,20180606.0,1515.0,1316.9,INTRA
strategy1,BUY,1301.587,1367.9945,748,20180607,1005,1328.15,20180607.0,1435.0,1315.7,Reversal to Short
strategy1,SELL,1342.0140000000001,1276.229,-760,20180607,1435,1315.7,20180607.0,1515.0,1315.2,INTRA
strategy1,SELL,1333.905,1268.5175,-764,20180608,1315,1307.75,20180608.0,1515.0,1314.15,INTRA
strategy1,BUY,1303.89,1370.415,750,20180611,1105,1330.5,20180611.0,1515.0,1317.1,INTRA
strategy1,SELL,1337.934,1272.3490000000002,-762,20180612,1055,1311.7,20180612.0,1515.0,1316.05,INTRA
strategy1,BUY,1293.5020000000002,1359.497,755,20180613,1010,1319.9,20180613.0,1515.0,1331.7,INTRA
strategy1,SELL,1343.34,1277.49,-759,20180614,1010,1317.0,20180614.0,1515.0,1306.15,INTRA
strategy1,BUY,1281.595,1346.9825,762,20180615,1030,1307.75,20180615.0,1515.0,1303.75,INTRA
strategy1,SELL,1313.3519999999999,1248.972,-776,20180618,1110,1287.6,20180618.0,1515.0,1300.15,INTRA
strategy1,SELL,1313.1480000000001,1248.778,-776,20180619,1010,1287.4,20180619.0,1515.0,1283.55,INTRA
strategy1,SELL,1299.99,1236.265,-784,20180620,1015,1274.5,20180620.0,1515.0,1275.4,INTRA
strategy1,BUY,1244.306,1307.791,784,20180622,1035,1269.7,20180622.0,1515.0,1296.95,INTRA
strategy1,BUY,1289.68,1355.48,756,20180625,1030,1316.0,20180625.0,1515.0,1316.75,INTRA
strategy1,BUY,1316.1889999999999,1383.3415,743,20180626,1010,1343.05,20180626.0,1515.0,1357.1,INTRA
strategy1,SELL,1361.7,1294.95,-749,20180627,1005,1335.0,20180627.0,1515.0,1305.55,INTRA
strategy1,BUY,1294.041,1360.0635,755,20180628,1005,1320.45,20180628.0,1245.0,1302.65,Reversal to Short
strategy1,SELL,1328.7030000000002,1263.5705,-767,20180628,1245,1302.65,20180628.0,1515.0,1290.0,INTRA
strategy1,BUY,1297.52,1363.72,751,20180629,1010,1324.0,20180629.0,1515.0,1342.35,INTRA
strategy1,SELL,1339.8719999999998,1274.192,-761,20180702,1235,1313.6,20180702.0,1515.0,1320.05,INTRA
strategy1,BUY,1296.05,1362.175,754,20180703,1115,1322.5,20180703.0,1515.0,1331.0,INTRA
strategy1,BUY,1317.12,1384.32,741,20180704,1010,1344.0,20180704.0,1515.0,1348.35,INTRA
strategy1,BUY,1355.7320000000002,1424.902,722,20180705,1035,1383.4,20180705.0,1515.0,1391.0,INTRA
strategy1,SELL,1403.52,1334.72,-726,20180706,1505,1376.0,20180706.0,1515.0,1374.0,INTRA
strategy1,SELL,1405.56,1336.66,-725,20180709,1020,1378.0,20180709.0,1515.0,1373.0,INTRA
strategy1,BUY,1363.229,1432.7815,717,20180710,1045,1391.05,20180710.0,1415.0,1376.05,Reversal to Short
strategy1,SELL,1403.571,1334.7685,-726,20180710,1415,1376.05,20180710.0,1515.0,1369.45,INTRA
strategy1,SELL,1381.2330000000002,1313.5255000000002,-738,20180711,1125,1354.15,20180711.0,1515.0,1358.65,INTRA
strategy1,BUY,1346.52,1415.22,721,20180712,1020,1374.0,20180712.0,1240.0,1360.65,Reversal to Short
strategy1,SELL,1387.863,1319.8305,-734,20180712,1240,1360.65,20180712.0,1515.0,1350.05,INTRA
strategy1,SELL,1376.643,1309.1605000000002,-740,20180713,1005,1349.65,20180713.0,1515.0,1339.7,INTRA
strategy1,SELL,1342.932,1277.1019999999999,-759,20180716,1030,1316.6,20180716.0,1450.0,1277.1019999999999,ST
strategy1,SELL,1296.42,1232.87,-786,20180716,1455,1271.0,20180716.0,1515.0,1266.9,INTRA
strategy1,BUY,1260.574,1324.889,775,20180717,1305,1286.3,20180717.0,1515.0,1287.5,INTRA
strategy1,BUY,1275.911,1341.0085000000001,767,20180718,1005,1301.95,20180718.0,1215.0,1287.75,Reversal to Short
strategy1,SELL,1313.505,1249.1175,-776,20180718,1215,1287.75,20180718.0,1515.0,1291.5,INTRA
strategy1,SELL,1325.796,1260.806,-769,20180723,1245,1299.8,20180723.0,1430.0,1314.0,Reversal to Long
strategy1,BUY,1280.027,1345.3345000000002,761,20180723,1430,1306.15,20180723.0,1515.0,1308.0,INTRA
strategy1,SELL,1502.103,1428.4705000000001,-679,20180725,1035,1472.65,20180725.0,1515.0,1470.0,INTRA
strategy1,BUY,1501.899,1578.5265,650,20180726,1010,1532.55,20180726.0,1515.0,1518.2,INTRA
strategy1,BUY,1494.255,1570.4925,646,20180727,1405,1524.75,20180727.0,1515.0,1535.0,INTRA
strategy1,SELL,1547.85,1471.975,-658,20180730,1005,1517.5,20180730.0,1515.0,1515.0,INTRA
strategy1,BUY,1485.19,1560.965,657,20180731,1135,1515.5,20180731.0,1515.0,1529.8,INTRA
strategy1,BUY,1523.41,1601.135,642,20180801,1045,1554.5,20180801.0,1515.0,1528.75,INTRA
strategy1,BUY,1501.7520000000002,1578.372,650,20180802,1015,1532.4,20180802.0,1515.0,1540.85,INTRA
strategy1,SELL,1557.2340000000002,1480.8990000000001,-655,20180803,1325,1526.7,20180803.0,1515.0,1516.35,INTRA
strategy1,SELL,1532.958,1457.813,-665,20180806,1015,1502.9,20180806.0,1515.0,1521.9,INTRA
strategy1,BUY,1515.57,1592.895,645,20180808,1035,1546.5,20180808.0,1515.0,1536.25,INTRA
strategy1,SELL,1584.009,1506.3615,-643,20180810,1110,1552.95,20180810.0,1515.0,1542.3,INTRA
strategy1,SELL,1548.258,1472.363,-658,20180813,1330,1517.9,20180813.0,1515.0,1519.9,INTRA
strategy1,BUY,1514.835,1592.1225,645,20180814,1005,1545.75,20180814.0,1515.0,1564.45,INTRA
strategy1,BUY,1520.862,1598.457,642,20180816,1115,1551.9,20180816.0,1515.0,1560.0,INTRA
strategy1,BUY,1539.972,1618.5420000000001,633,20180817,1230,1571.4,20180817.0,1515.0,1585.1,INTRA
strategy1,SELL,1626.492,1546.762,-627,20180820,1115,1594.6,20180820.0,1515.0,1600.0,INTRA
strategy1,BUY,1593.382,1674.6770000000001,611,20180821,1005,1625.9,20180821.0,1515.0,1637.65,INTRA
strategy1,SELL,1637.2530000000002,1556.9955,-622,20180823,1010,1605.15,20180823.0,1125.0,1637.2530000000002,SSL
strategy1,SELL,1675.605,1593.4675,-608,20180828,1015,1642.75,20180828.0,1515.0,1622.6,INTRA
strategy1,SELL,1644.6480000000001,1564.028,-620,20180829,1025,1612.4,20180829.0,1515.0,1611.4,INTRA
strategy1,BUY,1617.0,1699.5,604,20180903,1115,1650.0,20180903.0,1515.0,1664.0,INTRA
strategy1,SELL,1662.09,1580.615,-613,20180904,1055,1629.5,20180904.0,1435.0,1580.615,ST
strategy1,SELL,1619.097,1539.7295,-629,20180904,1440,1587.35,20180904.0,1515.0,1585.05,INTRA
strategy1,SELL,1586.9669999999999,1509.1744999999999,-642,20180905,1005,1555.85,20180905.0,1515.0,1546.9,INTRA
strategy1,SELL,1591.302,1513.297,-640,20180906,1120,1560.1,20180906.0,1515.0,1557.0,INTRA
strategy1,BUY,1527.036,1604.9460000000001,639,20180907,1105,1558.2,20180907.0,1515.0,1572.85,INTRA
strategy1,SELL,1580.235,1502.7725,-645,20180910,1005,1549.25,20180910.0,1515.0,1526.9,INTRA
strategy1,BUY,1502.144,1578.7839999999999,647,20180911,1055,1532.8,20180911.0,1500.0,1520.5,Reversal to Short
strategy1,SELL,1550.91,1474.885,-657,20180911,1500,1520.5,20180911.0,1515.0,1517.9,INTRA
strategy1,BUY,1489.747,1565.7545,653,20180912,1305,1520.15,20180912.0,1515.0,1557.2,INTRA
strategy1,BUY,1542.324,1621.014,632,20180914,1035,1573.8,20180914.0,1515.0,1604.1,INTRA
strategy1,BUY,1553.496,1632.756,628,20180917,1020,1585.2,20180917.0,1515.0,1581.25,INTRA
strategy1,SELL,1603.7459999999999,1525.1309999999999,-636,20180918,1010,1572.3,20180918.0,1515.0,1570.15,INTRA
strategy1,SELL,1590.18,1512.23,-641,20180921,1015,1559.0,20180921.0,1300.0,1512.23,ST
strategy1,SELL,1520.157,1445.6395,-670,20180921,1305,1490.35,20180921.0,1315.0,1520.157,SSL
strategy1,SELL,1572.228,1495.1580000000001,-648,20180921,1320,1541.4,20180921.0,1515.0,1540.0,INTRA
strategy1,SELL,1538.721,1463.2935,-662,20180924,1005,1508.55,20180924.0,1220.0,1538.721,SSL
strategy1,BUY,1487.101,1562.9735,654,20180925,1020,1517.45,20180925.0,1505.0,1562.9735,LT
strategy1,BUY,1528.8,1606.8,639,20180925,1510,1560.0,20180925.0,1515.0,1569.1,INTRA
strategy1,SELL,1593.495,1515.3825,-640,20180926,1135,1562.25,20180926.0,1510.0,1591.15,Reversal to Long
strategy1,BUY,1550.556,1629.666,628,20180926,1510,1582.2,20180926.0,1515.0,1588.95,INTRA
strategy1,SELL,1621.8,1542.3,-628,20180927,1115,1590.0,20180927.0,1515.0,1549.8,INTRA
strategy1,SELL,1572.4830000000002,1495.4005000000002,-648,20180928,1405,1541.65,20180928.0,1515.0,1539.35,INTRA
strategy1,SELL,1577.94,1500.59,-646,20181001,1150,1547.0,20181001.0,1515.0,1573.6,INTRA
strategy1,SELL,1565.7,1488.95,-651,20181003,1015,1535.0,20181003.0,1515.0,1510.2,INTRA
strategy1,SELL,1497.36,1423.96,-681,20181004,1135,1468.0,20181004.0,1340.0,1497.36,SSL
strategy1,BUY,1470.3429999999998,1545.3605,662,20181004,1350,1500.35,20181004.0,1515.0,1524.2,INTRA
strategy1,SELL,1504.704,1430.944,-677,20181005,1005,1475.2,20181005.0,1405.0,1504.704,SSL
strategy1,BUY,1439.473,1512.9154999999998,677,20181008,1155,1468.85,20181008.0,1515.0,1482.4,INTRA
strategy1,SELL,1496.952,1423.572,-681,20181009,1055,1467.6,20181009.0,1515.0,1461.5,INTRA
strategy1,BUY,1434.622,1507.817,680,20181010,1035,1463.9,20181010.0,1515.0,1464.1,INTRA
strategy1,SELL,1436.823,1366.3905,-709,20181011,1015,1408.65,20181011.0,1515.0,1431.05,INTRA
strategy1,BUY,1436.288,1509.568,680,20181012,1030,1465.6,20181012.0,1515.0,1505.5,INTRA
strategy1,SELL,1501.44,1427.84,-679,20181015,1040,1472.0,20181015.0,1330.0,1511.5,Reversal to Long
strategy1,BUY,1462.65,1537.275,661,20181015,1330,1492.5,20181015.0,1515.0,1529.3,INTRA
strategy1,SELL,1596.3,1518.05,-638,20181017,1005,1565.0,20181017.0,1515.0,1541.7,INTRA
strategy1,SELL,1449.3690000000001,1378.3215,-703,20181019,1425,1420.95,20181019.0,1515.0,1427.55,INTRA
strategy1,BUY,1346.324,1415.014,725,20181025,1140,1373.8,20181025.0,1515.0,1366.7,INTRA
strategy1,SELL,1371.9,1304.65,-743,20181029,1005,1345.0,20181029.0,1515.0,1350.85,INTRA
strategy1,SELL,1374.042,1306.687,-742,20181030,1220,1347.1,20181030.0,1515.0,1345.5,INTRA
strategy1,BUY,1320.06,1387.41,736,20181031,1415,1347.0,20181031.0,1515.0,1372.25,INTRA
strategy1,BUY,1362.2,1431.7,713,20181101,1015,1390.0,20181101.0,1515.0,1404.35,INTRA
strategy1,BUY,1397.725,1469.0375,698,20181102,1015,1426.25,20181102.0,1210.0,1469.0375,LT
strategy1,BUY,1433.74,1506.89,680,20181102,1215,1463.0,20181102.0,1515.0,1449.95,INTRA
strategy1,SELL,1459.824,1388.2640000000001,-698,20181105,1100,1431.2,20181105.0,1245.0,1451.5,Reversal to Long
strategy1,BUY,1413.405,1485.5175,688,20181105,1245,1442.25,20181105.0,1515.0,1479.0,INTRA
strategy1,SELL,1496.34,1422.99,-681,20181106,1005,1467.0,20181106.0,1515.0,1448.85,INTRA
strategy1,SELL,1478.3880000000001,1405.9180000000001,-689,20181112,1005,1449.4,20181112.0,1515.0,1441.25,INTRA
strategy1,BUY,1405.271,1476.9685,693,20181113,1015,1433.95,20181113.0,1515.0,1458.75,INTRA
strategy1,SELL,1486.5990000000002,1413.7265,-686,20181114,1005,1457.45,20181114.0,1050.0,1475.05,Reversal to Long
strategy1,BUY,1437.954,1511.319,677,20181114,1050,1467.3,20181114.0,1515.0,1475.0,INTRA
strategy1,BUY,1450.4,1524.4,673,20181115,1140,1480.0,20181115.0,1515.0,1516.25,INTRA
strategy1,BUY,1485.729,1561.5315,655,20181116,1015,1516.05,20181116.0,1515.0,1500.4,INTRA
strategy1,SELL,1528.3680000000002,1453.448,-667,20181119,1030,1498.4,20181119.0,1515.0,1503.0,INTRA
strategy1,BUY,1457.848,1532.2279999999998,668,20181120,1155,1487.6,20181120.0,1430.0,1472.95,Reversal to Short
strategy1,SELL,1502.409,1428.7615,-678,20181120,1430,1472.95,20181120.0,1515.0,1469.0,INTRA
strategy1,SELL,1498.482,1425.0269999999998,-680,20181121,1010,1469.1,20181121.0,1355.0,1489.75,Reversal to Long
strategy1,BUY,1454.418,1528.6229999999998,671,20181121,1355,1484.1,20181121.0,1515.0,1499.3,INTRA
strategy1,SELL,1508.682,1434.7269999999999,-676,20181122,1015,1479.1,20181122.0,1515.0,1457.5,INTRA
strategy1,SELL,1464.159,1392.3865,-696,20181126,1215,1435.45,20181126.0,1515.0,1439.25,INTRA
strategy1,SELL,1465.536,1393.696,-695,20181127,1245,1436.8,20181127.0,1515.0,1444.2,INTRA
strategy1,SELL,1468.086,1396.1209999999999,-694,20181128,1030,1439.3,20181128.0,1515.0,1436.7,INTRA
strategy1,BUY,1418.8929999999998,1491.2855,688,20181129,1010,1447.85,20181129.0,1515.0,1465.0,INTRA
strategy1,BUY,1453.34,1527.49,672,20181130,1005,1483.0,20181130.0,1515.0,1485.95,INTRA
strategy1,BUY,1473.92,1549.12,662,20181203,1010,1504.0,20181203.0,1515.0,1517.0,INTRA
strategy1,SELL,1536.2730000000001,1460.9655,-663,20181204,1125,1506.15,20181204.0,1515.0,1512.45,INTRA
strategy1,SELL,1520.3609999999999,1445.8335,-670,20181205,1015,1490.55,20181205.0,1515.0,1473.0,INTRA
strategy1,SELL,1474.308,1402.038,-691,20181206,1100,1445.4,20181206.0,1515.0,1425.5,INTRA
