strategy,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action
strategy1,BUY,1484.032,1525.92,668,20190102,1145,1496.0,20190102.0,1245.0,1484.0,LSL
strategy1,BUY,1454.2224,1495.269,682,20190104,1345,1465.95,20190109.0,1545.0,1449.0,LSL
strategy1,BUY,1448.2208,1489.0980000000002,684,20190111,1015,1459.9,20190115.0,1015.0,1491.45,LT
strategy1,BUY,1484.032,1525.92,668,20190116,945,1496.0,20190116.0,1115.0,1482.05,LSL
strategy1,BUY,1427.7856,1468.086,694,20190122,1415,1439.3,20190123.0,1515.0,1425.05,LSL
strategy1,BUY,1360.8752,1399.2869999999998,728,20190129,1045,1371.85,20190129.0,1315.0,1357.4,LSL
strategy1,BUY,1402.4895999999999,1442.076,707,20190131,1145,1413.8,20190201.0,1445.0,1402.0,LSL
strategy1,BUY,1398.0752,1437.5369999999998,709,20190204,1445,1409.35,20190205.0,1415.0,1359.15,LSL
strategy1,BUY,1390.288,1429.53,713,20190206,1515,1401.5,20190207.0,1045.0,1437.05,LT
strategy1,BUY,1414.592,1454.52,701,20190207,1315,1426.0,20190208.0,1045.0,1414.0,LSL
strategy1,BUY,1362.016,1400.46,728,20190215,945,1373.0,20190215.0,1045.0,1360.0,LSL
strategy1,BUY,1341.6304,1379.499,739,20190219,1145,1352.45,20190220.0,1215.0,1382.5,LT
strategy1,BUY,1376.648,1415.505,720,20190220,1515,1387.75,20190222.0,1345.0,1376.0,LSL
strategy1,BUY,1372.7296,1411.4759999999999,722,20190226,1215,1383.8,20190227.0,945.0,1417.35,LT
strategy1,BUY,1423.52,1463.7,696,20190227,1245,1435.0,20190228.0,945.0,1419.55,LSL
strategy1,BUY,1437.0608000000002,1477.623,690,20190301,945,1448.65,20190301.0,1545.0,1492.0,LT
strategy1,BUY,1472.4751999999999,1514.0369999999998,673,20190305,1015,1484.35,20190305.0,1445.0,1528.45,LT
strategy1,BUY,1544.5936,1588.191,642,20190306,1215,1557.05,20190307.0,915.0,1544.1,LSL
strategy1,BUY,1556.448,1600.38,637,20190307,1015,1569.0,20190307.0,1215.0,1552.6,LSL
strategy1,BUY,1552.48,1596.3,638,20190308,1115,1565.0,20190311.0,1445.0,1597.0,LT
strategy1,BUY,1594.64,1639.65,622,20190311,1515,1607.5,20190312.0,1515.0,1591.05,LSL
strategy1,BUY,1538.1951999999999,1581.6119999999999,644,20190318,1115,1550.6,20190322.0,945.0,1588.85,LT
strategy1,BUY,1578.5696,1623.126,628,20190322,1315,1591.3,20190325.0,915.0,1566.95,LSL
strategy1,BUY,1575.048,1619.505,629,20190325,1415,1587.75,20190325.0,1515.0,1573.75,LSL
strategy1,BUY,1590.1264,1635.009,623,20190327,945,1602.95,20190327.0,1145.0,1583.5,LSL
strategy1,BUY,1590.0272,1634.907,623,20190327,1445,1602.85,20190328.0,1445.0,1589.4,LSL
strategy1,BUY,1606.792,1652.145,617,20190328,1515,1619.75,20190329.0,1015.0,1603.4,LSL
strategy1,BUY,1604.4608,1649.748,618,20190329,1315,1617.4,20190329.0,1515.0,1660.65,LT
strategy1,BUY,1638.04,1684.275,605,20190404,945,1651.25,20190404.0,1045.0,1634.85,LSL
strategy1,BUY,1630.7488,1676.778,608,20190404,1215,1643.9,20190404.0,1415.0,1628.5,LSL
strategy1,BUY,1639.3791999999999,1685.6519999999998,605,20190405,1115,1652.6,20190408.0,1515.0,1638.5,LSL
strategy1,BUY,1643.0,1689.375,603,20190409,1515,1656.25,20190410.0,1045.0,1642.6,LSL
strategy1,BUY,1630.9968000000001,1677.0330000000001,608,20190410,1245,1644.15,20190411.0,1515.0,1679.25,LT
strategy1,BUY,1659.1696,1706.001,597,20190412,1245,1672.55,20190412.0,1515.0,1656.4,LSL
strategy1,BUY,1655.2512,1701.972,599,20190415,1445,1668.6,20190416.0,1245.0,1703.2,LT
strategy1,BUY,1689.0288,1736.7030000000002,587,20190416,1415,1702.65,20190418.0,945.0,1682.95,LSL
strategy1,BUY,1622.7631999999999,1668.567,611,20190426,1515,1635.85,20190430.0,945.0,1621.2,LSL
strategy1,BUY,1618.7456,1664.436,612,20190502,945,1631.8,20190502.0,1245.0,1613.5,LSL
strategy1,BUY,1614.7776,1660.356,614,20190503,1215,1627.8,20190506.0,915.0,1611.35,LSL
strategy1,BUY,1620.184,1665.915,612,20190507,1045,1633.25,20190507.0,1415.0,1615.85,LSL
strategy1,BUY,1580.8016,1625.421,627,20190509,1145,1593.55,20190509.0,1315.0,1579.8,LSL
strategy1,BUY,1587.448,1632.255,624,20190509,1445,1600.25,20190513.0,1515.0,1581.3,LSL
strategy1,BUY,1569.344,1613.64,632,20190516,1515,1582.0,20190520.0,915.0,1669.2,LT
strategy1,BUY,1650.3408000000002,1696.923,601,20190520,1215,1663.65,20190521.0,1315.0,1645.3,LSL
strategy1,BUY,1633.4271999999999,1679.532,607,20190523,945,1646.6,20190523.0,1045.0,1680.0,LT
strategy1,BUY,1657.6816,1704.471,598,20190524,1115,1671.05,20190524.0,1515.0,1704.5,LT
strategy1,BUY,1720.376,1768.935,576,20190527,945,1734.25,20190529.0,1445.0,1715.0,LSL
strategy1,BUY,1690.4671999999998,1738.182,586,20190603,1115,1704.1,20190604.0,1115.0,1684.25,LSL
strategy1,BUY,1590.6224,1635.519,623,20190610,1045,1603.45,20190610.0,1145.0,1590.55,LSL
strategy1,BUY,1571.1791999999998,1615.5269999999998,631,20190613,1415,1583.85,20190614.0,1115.0,1565.4,LSL
strategy1,BUY,1514.784,1557.54,654,20190618,1515,1527.0,20190619.0,1115.0,1505.05,LSL
strategy1,BUY,1491.5711999999999,1533.6719999999998,665,20190620,1215,1503.6,20190620.0,1515.0,1542.65,LT
strategy1,BUY,1519.5456,1562.436,652,20190621,1015,1531.8,20190626.0,945.0,1569.3,LT
strategy1,BUY,1567.3104,1611.549,632,20190626,1115,1579.95,20190628.0,1415.0,1564.5,LSL
strategy1,BUY,1560.3664,1604.409,635,20190702,945,1572.95,20190705.0,1345.0,1560.0,LSL
strategy1,BUY,1510.816,1553.46,656,20190709,1115,1523.0,20190709.0,1545.0,1554.3,LT
strategy1,BUY,1547.9168000000002,1591.6080000000002,640,20190710,1115,1560.4,20190710.0,1245.0,1545.15,LSL
strategy1,BUY,1539.9808,1583.448,644,20190711,1015,1552.4,20190712.0,1315.0,1588.0,LT
strategy1,BUY,1580.256,1624.86,627,20190715,1245,1593.0,20190718.0,1415.0,1574.45,LSL
strategy1,BUY,1569.344,1613.64,632,20190722,1515,1582.0,20190724.0,1045.0,1568.15,LSL
strategy1,BUY,1582.736,1627.41,626,20190725,945,1595.5,20190725.0,1245.0,1581.5,LSL
strategy1,BUY,1571.328,1615.68,631,20190726,1315,1584.0,20190729.0,1015.0,1570.0,LSL
strategy1,BUY,1547.52,1591.2,641,20190730,1215,1560.0,20190730.0,1515.0,1542.25,LSL
strategy1,BUY,1521.728,1564.68,651,20190802,1415,1534.0,20190802.0,1445.0,1518.05,LSL
strategy1,BUY,1508.336,1550.91,657,20190805,1245,1520.5,20190806.0,915.0,1506.65,LSL
strategy1,BUY,1517.8591999999999,1560.702,653,20190806,945,1530.1,20190807.0,945.0,1561.5,LT
strategy1,BUY,1557.8864,1601.8590000000002,636,20190807,1115,1570.45,20190808.0,1415.0,1552.45,LSL
strategy1,BUY,1572.816,1617.21,630,20190809,1245,1585.5,20190813.0,1115.0,1570.85,LSL
strategy1,BUY,1567.9551999999999,1612.212,632,20190814,1315,1580.6,20190820.0,945.0,1556.95,LSL
strategy1,BUY,1468.8544,1510.314,675,20190826,1345,1480.7,20190827.0,915.0,1513.25,LT
strategy1,BUY,1522.6704,1565.6490000000001,651,20190827,1345,1534.95,20190829.0,1145.0,1521.9,LSL
strategy1,BUY,1504.864,1547.34,659,20190830,1515,1517.0,20190903.0,915.0,1494.5,LSL
strategy1,BUY,1438.2512,1478.847,689,20190905,1015,1449.85,20190909.0,1215.0,1480.5,LT
strategy1,BUY,1465.7792,1507.1519999999998,676,20190909,1415,1477.6,20190912.0,1045.0,1508.0,LT
strategy1,BUY,1494.5472,1536.732,663,20190913,1415,1506.6,20190916.0,1115.0,1537.0,LT
strategy1,BUY,1484.0816,1525.971,668,20190920,1015,1496.05,20190920.0,1115.0,1552.0,LT
strategy1,BUY,1624.7968,1670.6580000000001,610,20190920,1515,1637.9,20190923.0,1015.0,1674.85,LT
strategy1,BUY,1676.8768,1724.208,591,20190923,1215,1690.4,20190923.0,1345.0,1673.55,LSL
strategy1,BUY,1623.2096,1669.0259999999998,611,20190926,1415,1636.3,20190930.0,945.0,1622.1,LSL
strategy1,BUY,1448.32,1489.2,684,20191009,1445,1460.0,20191010.0,945.0,1446.9,LSL
strategy1,BUY,1430.96,1471.35,693,20191011,1415,1442.5,20191014.0,1045.0,1474.3,LT
strategy1,BUY,1458.6368,1499.808,680,20191014,1245,1470.4,20191016.0,915.0,1540.0,LT
strategy1,BUY,1522.2736,1565.241,651,20191017,1345,1534.55,20191024.0,1045.0,1521.8,LSL
strategy1,BUY,1510.816,1553.46,656,20191029,1045,1523.0,20191030.0,1015.0,1572.0,LT
strategy1,BUY,1541.9152,1585.437,643,20191031,1215,1554.35,20191101.0,1315.0,1534.25,LSL
strategy1,BUY,1575.0976,1619.556,629,20191104,1215,1587.8,20191104.0,1315.0,1570.5,LSL
strategy1,BUY,1513.7424,1556.469,655,20191106,1315,1525.95,20191108.0,1515.0,1508.4,LSL
strategy1,BUY,1508.6336,1551.216,657,20191113,1015,1520.8,20191113.0,1115.0,1506.0,LSL
strategy1,BUY,1490.4304,1532.499,665,20191115,1015,1502.45,20191115.0,1115.0,1487.9,LSL
strategy1,BUY,1489.8352,1531.887,665,20191118,1045,1501.85,20191119.0,1315.0,1484.5,LSL
strategy1,BUY,1486.5616,1528.521,667,20191120,1315,1498.55,20191120.0,1445.0,1483.0,LSL
strategy1,BUY,1473.12,1514.7,673,20191125,1045,1485.0,20191127.0,1145.0,1515.0,LT
strategy1,BUY,1494.2992,1536.4769999999999,663,20191127,1415,1506.35,20191202.0,1215.0,1540.2,LT
strategy1,BUY,1531.896,1575.135,647,20191202,1245,1544.25,20191202.0,1515.0,1526.25,LSL
strategy1,BUY,1503.872,1546.32,659,20191205,945,1516.0,20191205.0,1145.0,1503.0,LSL
strategy1,BUY,1476.6912,1518.3719999999998,671,20191209,1215,1488.6,20191209.0,1415.0,1474.9,LSL
strategy1,BUY,1419.5024,1459.569,698,20191212,1445,1430.95,20191213.0,1315.0,1461.35,LT
strategy1,BUY,1449.5104000000001,1490.424,684,20191213,1415,1461.2,20191216.0,1015.0,1447.7,LSL
strategy1,BUY,1445.9391999999998,1486.752,686,20191217,1045,1457.6,20191218.0,1345.0,1441.75,LSL
strategy1,BUY,1440.632,1481.295,688,20191223,945,1452.25,20200101.0,1515.0,1440.5,LSL
strategy1,BUY,1456.7024000000001,1497.819,680,20200102,945,1468.45,20200106.0,945.0,1448.2,LSL
strategy1,BUY,1451.296,1492.26,683,20200107,945,1463.0,20200107.0,1045.0,1450.0,LSL
strategy1,BUY,1441.376,1482.06,688,20200107,1415,1453.0,20200108.0,915.0,1439.7,LSL
strategy1,BUY,1459.5792,1500.7769999999998,679,20200108,1015,1471.35,20200110.0,1015.0,1514.55,LT
strategy1,BUY,1516.6688000000001,1559.478,654,20200113,1015,1528.9,20200114.0,1415.0,1515.0,LSL
strategy1,BUY,1507.096,1549.635,658,20200117,1045,1519.25,20200120.0,1015.0,1507.0,LSL
strategy1,BUY,1501.888,1544.28,660,20200122,945,1514.0,20200123.0,1415.0,1544.4,LT
strategy1,BUY,1538.9888,1582.428,644,20200123,1445,1551.4,20200130.0,1015.0,1537.55,LSL
strategy1,BUY,1514.3872,1557.1319999999998,655,20200201,1115,1526.6,20200201.0,1215.0,1507.8,LSL
strategy1,BUY,1463.2495999999999,1504.551,677,20200204,945,1475.05,20200206.0,1015.0,1463.0,LSL
strategy1,BUY,1461.216,1502.46,678,20200206,1245,1473.0,20200207.0,945.0,1505.1,LT
strategy1,BUY,1488.2975999999999,1530.306,666,20200207,1145,1500.3,20200210.0,915.0,1483.25,LSL
strategy1,BUY,1442.2192,1482.927,687,20200212,1415,1453.85,20200213.0,1515.0,1440.2,LSL
strategy1,BUY,1416.1296,1456.1009999999999,700,20200219,1145,1427.55,20200224.0,915.0,1406.85,LSL
strategy1,BUY,1400.5056,1440.036,708,20200226,1315,1411.8,20200226.0,1445.0,1400.5,LSL
strategy1,BUY,1324.32,1361.7,749,20200305,1115,1335.0,20200305.0,1345.0,1308.3,LSL
strategy1,BUY,1169.2208,1202.2230000000002,848,20200313,1515,1178.65,20200316.0,915.0,1107.3,LSL
strategy1,BUY,950.832,977.67,1043,20200331,945,958.5,20200331.0,1045.0,946.0,LSL
strategy1,BUY,951.1792,978.027,1042,20200331,1145,958.85,20200403.0,945.0,949.9,LSL
strategy1,BUY,959.8095999999999,986.901,1033,20200403,1115,967.55,20200403.0,1245.0,955.5,LSL
strategy1,BUY,1001.8704,1030.1490000000001,990,20200407,1515,1009.95,20200408.0,915.0,995.0,LSL
strategy1,BUY,1018.784,1047.54,973,20200408,945,1027.0,20200408.0,1115.0,985.8,LSL
strategy1,BUY,972.2592000000001,999.702,1020,20200409,1215,980.1,20200409.0,1315.0,1002.8,LT
strategy1,BUY,1009.9055999999999,1038.411,982,20200413,945,1018.05,20200413.0,1115.0,1046.9,LT
strategy1,BUY,1065.8544,1095.939,930,20200413,1445,1074.45,20200413.0,1545.0,1064.85,LSL
strategy1,BUY,1143.3791999999999,1175.6519999999998,867,20200416,1115,1152.6,20200417.0,915.0,1182.85,LT
strategy1,BUY,1179.488,1212.78,841,20200420,1115,1189.0,20200420.0,1445.0,1177.5,LSL
strategy1,BUY,1167.0384000000001,1199.979,850,20200422,1415,1176.45,20200422.0,1445.0,1218.0,LT
strategy1,BUY,1163.616,1196.46,852,20200506,1215,1173.0,20200507.0,945.0,1201.65,LT
strategy1,BUY,1163.616,1196.46,852,20200511,945,1173.0,20200512.0,915.0,1157.25,LSL
strategy1,BUY,1186.3328000000001,1219.818,836,20200515,1515,1195.9,20200518.0,945.0,1174.5,LSL
strategy1,BUY,1142.288,1174.53,868,20200519,1245,1151.5,20200519.0,1415.0,1141.9,LSL
strategy1,BUY,1146.752,1179.12,865,20200520,945,1156.0,20200521.0,945.0,1179.7,LT
strategy1,BUY,1181.3231999999998,1214.667,839,20200521,1045,1190.85,20200522.0,915.0,1166.3,LSL
strategy1,BUY,1204.04,1238.025,823,20200522,1345,1213.75,20200526.0,915.0,1248.3,LT
strategy1,BUY,1252.7968,1288.1580000000001,791,20200526,1215,1262.9,20200527.0,945.0,1252.0,LSL
strategy1,BUY,1261.1296,1296.7259999999999,786,20200528,945,1271.3,20200528.0,1115.0,1261.0,LSL
strategy1,BUY,1256.7648000000002,1292.238,789,20200528,1215,1266.9,20200601.0,915.0,1293.6,LT
strategy1,BUY,1278.3904,1314.4740000000002,775,20200602,1515,1288.7,20200603.0,1445.0,1274.25,LSL
strategy1,BUY,1258.6496,1294.176,788,20200604,1515,1268.8,20200605.0,1115.0,1298.0,LT
strategy1,BUY,1270.6528,1306.518,780,20200610,1245,1280.9,20200610.0,1415.0,1264.5,LSL
strategy1,BUY,1255.0784,1290.5040000000001,790,20200612,1445,1265.2,20200615.0,1045.0,1251.55,LSL
strategy1,BUY,1253.4415999999999,1288.821,791,20200616,1045,1263.55,20200616.0,1215.0,1251.5,LSL
strategy1,BUY,1232.4112,1267.197,804,20200617,1315,1242.35,20200617.0,1515.0,1232.3,LSL
strategy1,BUY,1228.9391999999998,1263.627,807,20200618,1115,1238.85,20200619.0,1115.0,1266.6,LT
strategy1,BUY,1261.576,1297.185,786,20200619,1245,1271.75,20200623.0,1345.0,1298.95,LT
strategy1,BUY,1287.616,1323.96,770,20200623,1445,1298.0,20200624.0,1245.0,1281.8,LSL
strategy1,BUY,1264.7008,1300.3980000000001,784,20200626,1145,1274.9,20200630.0,945.0,1316.45,LT
strategy1,BUY,1311.1264,1348.134,756,20200630,1215,1321.7,20200703.0,1315.0,1306.15,LSL
strategy1,BUY,1310.0848,1347.063,757,20200706,1015,1320.65,20200708.0,945.0,1298.9,LSL
strategy1,BUY,1306.1664,1343.034,759,20200709,945,1316.7,20200713.0,1445.0,1349.35,LT
strategy1,BUY,1344.8048000000001,1382.7630000000001,737,20200714,945,1355.65,20200714.0,1015.0,1341.15,LSL
strategy1,BUY,1303.488,1340.28,761,20200717,1115,1314.0,20200721.0,915.0,1373.75,LT
strategy1,BUY,1384.832,1423.92,716,20200721,1245,1396.0,20200721.0,1345.0,1383.0,LSL
strategy1,BUY,1349.864,1387.965,734,20200727,945,1360.75,20200728.0,1045.0,1390.0,LT
strategy1,BUY,1376.2512,1415.097,720,20200728,1245,1387.35,20200729.0,915.0,1417.35,LT
strategy1,BUY,1395.6944,1435.089,710,20200729,1445,1406.95,20200730.0,1045.0,1441.1,LT
strategy1,BUY,1428.1824000000001,1468.4940000000001,694,20200730,1215,1439.7,20200731.0,1045.0,1421.0,LSL
strategy1,BUY,1416.7248000000002,1456.7130000000002,700,20200805,1045,1428.15,20200805.0,1145.0,1403.15,LSL
strategy1,BUY,1407.8464000000001,1447.584,704,20200806,1015,1419.2,20200806.0,1445.0,1407.0,LSL
strategy1,BUY,1394.9504,1434.324,711,20200811,1015,1406.2,20200813.0,1515.0,1393.8,LSL
strategy1,BUY,1399.712,1439.22,708,20200818,945,1411.0,20200819.0,1115.0,1439.9,LT
strategy1,BUY,1429.472,1469.82,693,20200819,1145,1441.0,20200819.0,1445.0,1429.2,LSL
strategy1,BUY,1417.4688,1457.478,699,20200821,1445,1428.9,20200825.0,945.0,1408.1,LSL
strategy1,BUY,1392.768,1432.08,712,20200827,1415,1404.0,20200828.0,1545.0,1391.2,LSL
strategy1,BUY,1338.6544000000001,1376.439,741,20200902,945,1349.45,20200902.0,1045.0,1333.45,LSL
strategy1,BUY,1334.6864,1372.3590000000002,743,20200902,1245,1345.45,20200903.0,1215.0,1332.25,LSL
strategy1,BUY,1315.4912,1352.6219999999998,754,20200907,1245,1326.1,20200908.0,1445.0,1314.8,LSL
strategy1,BUY,1304.728,1341.555,760,20200909,1515,1315.25,20200910.0,1545.0,1353.6,LT
strategy1,BUY,1334.2896,1371.951,743,20200911,1115,1345.05,20200911.0,1345.0,1332.8,LSL
strategy1,BUY,1364.9424000000001,1403.469,726,20200914,1245,1375.95,20200914.0,1415.0,1359.1,LSL
strategy1,BUY,1369.9024,1408.569,724,20200915,1015,1380.95,20200917.0,1015.0,1411.45,LT
strategy1,BUY,1398.72,1438.2,709,20200917,1215,1410.0,20200921.0,1345.0,1392.4,LSL
strategy1,BUY,1320.352,1357.62,751,20200925,1415,1331.0,20200928.0,945.0,1358.0,LT
strategy1,BUY,1354.08,1392.3,732,20200928,1315,1365.0,20200930.0,1315.0,1393.45,LT
strategy1,BUY,1387.0144,1426.164,715,20200930,1345,1398.2,20201006.0,945.0,1431.6,LT
strategy1,BUY,1412.608,1452.48,702,20201006,1215,1424.0,20201007.0,1015.0,1457.95,LT
strategy1,BUY,1457.248,1498.38,680,20201007,1145,1469.0,20201008.0,1245.0,1499.0,LT
strategy1,BUY,1492.5631999999998,1534.692,664,20201008,1445,1504.6,20201012.0,1015.0,1485.0,LSL
strategy1,BUY,1499.8544,1542.189,661,20201012,1345,1511.95,20201013.0,945.0,1546.5,LT
strategy1,BUY,1528.8208000000002,1571.9730000000002,648,20201014,1445,1541.15,20201015.0,1345.0,1528.35,LSL
strategy1,BUY,1531.3504,1574.574,647,20201016,1245,1543.7,20201020.0,915.0,1585.65,LT
strategy1,BUY,1564.3344,1608.489,634,20201020,1115,1576.95,20201021.0,1515.0,1620.95,LT
strategy1,BUY,1610.016,1655.46,616,20201022,1215,1623.0,20201023.0,1515.0,1602.45,LSL
strategy1,BUY,1640.272,1686.57,604,20201027,1315,1653.5,20201028.0,1545.0,1627.9,LSL
strategy1,BUY,1650.192,1696.77,601,20201030,945,1663.5,20201030.0,1215.0,1646.8,LSL
strategy1,BUY,1648.5552,1695.087,601,20201102,1245,1661.85,20201103.0,1145.0,1648.0,LSL
strategy1,BUY,1652.5231999999999,1699.167,600,20201103,1445,1665.85,20201105.0,1045.0,1700.0,LT
strategy1,BUY,1685.3088,1732.8780000000002,588,20201105,1345,1698.9,20201106.0,1145.0,1683.8,LSL
strategy1,BUY,1657.9296,1704.7259999999999,598,20201109,1515,1671.3,20201110.0,1415.0,1648.2,LSL
strategy1,BUY,1658.1776,1704.981,598,20201111,1515,1671.55,20201117.0,1015.0,1718.7,LT
strategy1,BUY,1692.0048000000002,1739.7630000000001,586,20201117,1345,1705.65,20201118.0,1015.0,1689.55,LSL
strategy1,BUY,1700.1888000000001,1748.178,583,20201119,1145,1713.9,20201119.0,1315.0,1699.0,LSL
strategy1,BUY,1689.128,1736.805,587,20201120,945,1702.75,20201120.0,1145.0,1685.1,LSL
strategy1,BUY,1740.464,1789.59,569,20201123,1315,1754.5,20201123.0,1445.0,1736.6,LSL
strategy1,BUY,1666.5104000000001,1713.549,595,20201126,1445,1679.95,20201127.0,1015.0,1714.5,LT
strategy1,BUY,1701.1808,1749.198,583,20201127,1515,1714.9,20201127.0,1545.0,1685.75,LSL
strategy1,BUY,1736.0,1785.0,571,20201201,1515,1750.0,20201202.0,1015.0,1735.1,LSL
strategy1,BUY,1673.6032,1720.8419999999999,592,20201208,945,1687.1,20201208.0,1145.0,1672.75,LSL
strategy1,BUY,1671.8175999999999,1719.0059999999999,593,20201208,1515,1685.3,20201209.0,1145.0,1670.85,LSL
strategy1,BUY,1608.9248,1654.3380000000002,616,20201215,1145,1621.9,20201217.0,945.0,1656.65,LT
strategy1,BUY,1635.312,1681.47,606,20201217,1215,1648.5,20201218.0,1015.0,1630.2,LSL
strategy1,BUY,1632.584,1678.665,607,20201218,1345,1645.75,20201221.0,945.0,1629.3,LSL
strategy1,BUY,1554.96,1598.85,637,20201223,1145,1567.5,20201224.0,915.0,1666.5,LT
strategy1,BUY,1613.488,1659.03,614,20201224,1145,1626.5,20201224.0,1445.0,1613.05,LSL
strategy1,BUY,1604.56,1649.85,618,20201228,1445,1617.5,20201230.0,1545.0,1651.0,LT
strategy1,BUY,1614.48,1660.05,614,20210101,1415,1627.5,20210106.0,1215.0,1662.2,LT
strategy1,BUY,1651.8288,1698.4530000000002,600,20210106,1245,1665.15,20210106.0,1415.0,1644.6,LSL
strategy1,BUY,1662.4928,1709.4180000000001,596,20210106,1515,1675.9,20210107.0,1115.0,1714.8,LT
strategy1,BUY,1704.1568000000002,1752.258,582,20210107,1315,1717.9,20210107.0,1515.0,1703.7,LSL
strategy1,BUY,1723.104,1771.74,575,20210108,945,1737.0,20210111.0,1145.0,1775.9,LT
strategy1,BUY,1770.1248,1820.0880000000002,560,20210111,1215,1784.4,20210115.0,945.0,1737.25,LSL
strategy1,BUY,1702.272,1750.32,582,20210119,1015,1716.0,20210120.0,945.0,1698.5,LSL
strategy1,BUY,1696.6671999999999,1744.557,584,20210120,1345,1710.35,20210121.0,1415.0,1691.85,LSL
strategy1,BUY,1635.6096,1681.7759999999998,606,20210129,1015,1648.8,20210129.0,1315.0,1631.35,LSL
strategy1,BUY,1760.8,1810.5,563,20210202,1315,1775.0,20210202.0,1445.0,1760.2,LSL
strategy1,BUY,1733.5696,1782.501,572,20210204,1345,1747.55,20210205.0,1015.0,1723.25,LSL
strategy1,BUY,1750.632,1800.045,566,20210208,945,1764.75,20210212.0,915.0,1746.0,LSL
strategy1,BUY,1767.744,1817.64,561,20210215,1045,1782.0,20210216.0,945.0,1822.85,LT
strategy1,BUY,1806.0848,1857.063,549,20210216,1515,1820.65,20210218.0,1145.0,1804.6,LSL
strategy1,BUY,1715.9615999999999,1764.396,578,20210224,945,1729.8,20210225.0,1345.0,1778.5,LT
strategy1,BUY,1800.48,1851.3,550,20210226,945,1815.0,20210226.0,1145.0,1793.55,LSL
strategy1,BUY,1787.584,1838.04,554,20210302,945,1802.0,20210302.0,1115.0,1778.4,LSL
strategy1,BUY,1781.632,1831.92,556,20210303,1115,1796.0,20210304.0,915.0,1774.55,LSL
strategy1,BUY,1791.7008,1842.2730000000001,553,20210304,1015,1806.15,20210304.0,1445.0,1850.1,LT
strategy1,BUY,1866.3984,1919.079,531,20210305,945,1881.45,20210305.0,1115.0,1862.4,LSL
strategy1,BUY,1837.7296,1889.6009999999999,539,20210309,945,1852.55,20210309.0,1145.0,1836.05,LSL
strategy1,BUY,1813.376,1864.56,547,20210310,1245,1828.0,20210312.0,1045.0,1811.75,LSL
strategy1,BUY,1768.8352,1818.762,560,20210316,1045,1783.1,20210317.0,945.0,1758.4,LSL
strategy1,BUY,1731.1391999999998,1780.002,573,20210318,1245,1745.1,20210318.0,1415.0,1716.0,LSL
